Date,Price,Open,High,Low,Vol.,Change %,,,,,,
22-12-2025,"2,544.80","2,423.00","2,553.10","2,401.10",1.92M,5.67%,,,,,,
19-12-2025,"2,408.20","2,363.70","2,415.00","2,358.00",1.03M,2.13%,,,,,,
18-12-2025,"2,358.00","2,351.00","2,379.80","2,325.10",770.15K,0.06%,,,,,,
17-12-2025,"2,356.60","2,408.00","2,415.90","2,350.00",650.21K,-2.13%,,,,,,
16-12-2025,"2,408.00","2,435.00","2,443.70","2,390.00",586.16K,-1.63%,,,,,,
15-12-2025,"2,447.80","2,458.00","2,463.90","2,434.80",387.67K,-0.44%,,,,,,
12-12-2025,"2,458.70","2,475.00","2,490.00","2,434.00",595.16K,-0.36%,,,,,,
11-12-2025,"2,467.50","2,451.20","2,491.30","2,444.70",752.82K,1.16%,,,,,,
10-12-2025,"2,439.10","2,480.90","2,509.90","2,432.00",673.45K,-2.01%,,,,,,
09-12-2025,"2,489.10","2,460.00","2,505.00","2,405.20",1.50M,0.22%,,,,,,
08-12-2025,"2,483.70","2,614.90","2,615.40","2,455.00",1.64M,-5.07%,,,,,,
05-12-2025,"2,616.30","2,649.90","2,671.80","2,601.00",669.13K,-0.94%,,,,,,
04-12-2025,"2,641.20","2,618.00","2,665.00","2,580.00",718.51K,0.92%,,,,,,
03-12-2025,"2,617.20","2,650.00","2,659.90","2,610.00",434.91K,-1.28%,,,,,,
02-12-2025,"2,651.20","2,668.90","2,681.90","2,640.00",366.21K,-0.79%,,,,,,
01-12-2025,"2,672.20","2,689.40","2,702.00","2,663.10",473.97K,-0.28%,,,,,,
28-11-2025,"2,679.60","2,673.00","2,699.00","2,661.00",412.10K,0.08%,,,,,,
27-11-2025,"2,677.40","2,703.50","2,721.60","2,666.10",500.83K,-0.71%,,,,,,
26-11-2025,"2,696.50","2,650.00","2,700.00","2,650.00",503.19K,2.02%,,,,,,
25-11-2025,"2,643.00","2,686.10","2,703.00","2,640.00",760.97K,-1.60%,,,,,,
24-11-2025,"2,686.10","2,725.00","2,730.90","2,681.60",615.56K,-2.15%,,,,,,
21-11-2025,"2,745.20","2,830.00","2,830.00","2,737.00",988.63K,-2.98%,,,,,,
20-11-2025,"2,829.50","2,780.00","2,848.00","2,775.80",1.65M,1.66%,,,,,,
19-11-2025,"2,783.40","2,796.00","2,798.00","2,765.00",447.30K,-0.57%,,,,,,
18-11-2025,"2,799.30","2,800.50","2,818.00","2,772.00",711.02K,-0.04%,,,,,,
17-11-2025,"2,800.50","2,795.00","2,827.00","2,782.10",1.14M,0.66%,,,,,,
14-11-2025,"2,782.10","2,732.00","2,797.00","2,727.90",1.15M,1.68%,,,,,,
13-11-2025,"2,736.00","2,745.00","2,777.00","2,725.00",607.18K,-0.79%,,,,,,
12-11-2025,"2,757.70","2,762.00","2,794.90","2,733.60",920.97K,0.19%,,,,,,
11-11-2025,"2,752.50","2,710.00","2,758.00","2,707.10",1.03M,1.73%,,,,,,
10-11-2025,"2,705.60","2,673.90","2,743.80","2,660.00",1.14M,1.32%,,,,,,
07-11-2025,"2,670.30","2,618.00","2,681.70","2,582.80",985.71K,1.51%,,,,,,
06-11-2025,"2,630.50","2,682.00","2,697.30","2,618.50",885.24K,-1.96%,,,,,,
04-11-2025,"2,683.00","2,745.10","2,749.80","2,678.00",898.16K,-2.39%,,,,,,
03-11-2025,"2,748.60","2,720.00","2,757.00","2,701.00",606.85K,0.72%,,,,,,
31-10-2025,"2,729.00","2,755.00","2,768.00","2,721.00",931.57K,-0.53%,,,,,,
30-10-2025,"2,743.60","2,780.30","2,783.50","2,737.00",809.32K,-1.10%,,,,,,
29-10-2025,"2,774.20","2,789.00","2,789.00","2,727.30",1.24M,-0.22%,,,,,,
28-10-2025,"2,780.40","2,869.90","2,881.80","2,765.00",3.09M,-1.07%,,,,,,
