Ticker,Sector,Sub Sector,Sales YoY Growth,NetProfit YoY Growth,Sales TTM 1Yr Growth,NetProfit TTM 1Yr Growth,QoQ Sales Growth,QoQ Profit Growth,3M Return,6M Return,1Yr Return,2Yr Return,PE Ratio,Future PE,TTM PEG,Future PEG,PB Ratio,EV/Sales,EV/EBITDA,Market Cap (Billions),Revenue (Billions),TTM Revenue (Billions),QtrStd,YrStd,Qtr Beta,Yr Beta,_Loss_Profit_YoY,_Loss_Profit_TTM,_Loss_Profit_QoQ
DVA,Healthcare,Medical Care Facilities,6.0,43.5,6.5,-20.2,-5.6,-15.7,28.0,65.3,44.58,34.36,18.97,15.14,-0.94,-0.75,,1.95,9.67,12.65,13.84,13.64,53.42,42.7,0.6652,0.1356,False,True,True
DECK,Consumer Cyclical,Footwear & Accessories,9.6,-4.8,9.8,6.0,-42.8,-71.8,-0.17,24.22,6.56,-35.6,16.28,17.26,2.71,2.88,6.4,2.62,10.71,15.88,5.47,5.47,41.54,45.37,1.7999,1.2674,True,False,True
DE,Industrials,Farm & Heavy Construction Machinery,-11.1,-8.5,-11.6,-29.2,,-9.8,-14.31,15.88,8.46,51.84,30.57,21.64,-1.05,-0.74,5.31,3.91,21.5,145.59,47.34,44.66,30.97,29.14,0.8307,0.5775,True,True,True
DELL,Technology,Computer Hardware,39.5,57.3,18.8,29.3,23.6,45.9,107.12,141.82,183.26,82.76,35.23,45.55,1.2,1.55,,1.99,19.68,205.95,113.54,113.54,78.23,55.4,1.5958,1.8705,False,False,False
DAL,Industrials,Airlines,12.9,,2.8,44.8,-0.9,-123.7,28.73,29.28,72.12,69.28,12.04,17.43,0.27,0.39,2.65,1.08,9.04,54.2,65.18,63.36,45.3,41.33,1.8788,1.9917,False,False,True
DVN,Energy,Oil & Gas E&P,-0.8,-75.3,7.8,-8.6,-7.6,-78.6,-1.36,17.87,45.46,-0.95,12.32,11.26,-1.43,-1.31,1.78,2.15,5.11,50.88,16.0,17.19,37.25,33.63,-1.2496,-0.2848,True,True,True
DXCM,Healthcare,Medical Devices,15.0,92.2,15.6,45.1,-5.4,-25.4,-1.95,13.89,-14.75,-43.32,30.14,43.73,0.67,0.97,9.44,5.58,20.8,27.91,4.82,4.66,39.87,40.31,0.9416,0.9168,False,False,True
FANG,Energy,Oil & Gas E&P,4.2,-98.4,35.4,-50.1,26.0,-101.7,9.73,25.75,44.51,5.32,196.1,97.85,-3.91,-1.95,1.5,5.15,7.34,54.61,14.46,14.93,32.25,30.75,-1.0409,-0.2198,True,True,True
DLR,Real Estate,REIT - Specialty,16.7,67.6,10.0,117.2,0.0,81.7,7.86,24.23,14.37,43.65,50.78,110.29,0.43,0.94,2.95,13.78,30.12,68.47,6.31,6.11,21.59,22.1,1.013,0.8481,False,False,False
DG,Consumer Defensive,Discount Stores,5.9,121.9,5.2,34.4,2.5,50.8,-27.65,1.42,15.52,-17.39,15.22,20.46,0.44,0.59,2.84,0.91,11.73,24.2,42.72,42.72,38.59,37.85,1.0211,0.5683,False,False,False
DLTR,Consumer Defensive,Discount Stores,9.0,,10.4,-142.3,14.7,106.9,-5.74,2.83,24.75,-0.73,16.12,-6.82,-0.11,0.05,5.97,1.3,10.93,21.72,19.41,19.41,53.37,41.5,1.0642,0.8177,False,True,False
D,Utilities,Utilities - Regulated Electric,23.1,-10.2,14.2,47.4,22.6,9.5,,13.27,24.35,41.01,19.82,29.21,0.42,0.62,2.1,6.69,14.16,59.26,17.45,16.51,25.68,20.27,0.0786,-0.0257,True,False,False
DPZ,Consumer Cyclical,Restaurants,3.5,-4.6,5.0,3.0,-25.1,-23.0,-22.29,-26.11,-33.49,-37.25,17.95,18.49,5.98,6.16,,3.06,14.9,10.32,4.98,4.94,32.19,25.95,0.3116,0.2271,True,False,True
DASH,Consumer Cyclical,Internet Retail,33.1,-6.1,27.9,660.2,2.0,-13.6,-11.17,-23.78,-23.4,40.24,74.27,564.6,0.11,0.86,6.7,4.49,48.92,68.28,14.72,13.72,46.39,43.9,1.1774,1.3901,True,False,True
DOV,Industrials,Specialty Industrial Machinery,10.1,5.3,4.5,-59.4,-2.2,-15.5,,,19.56,19.61,26.66,10.82,-0.45,-0.18,3.82,3.65,16.22,28.62,8.28,8.09,27.78,23.97,1.1752,0.9834,False,True,True
DOW,Basic Materials,Chemicals,-6.1,,-7.0,-335.0,3.5,-65.5,,,28.94,-30.88,,,,,1.64,1.06,15.85,25.06,39.33,39.97,50.03,49.5,-1.2361,0.503,False,True,True
DHI,Consumer Cyclical,Residential Construction,-2.3,-13.2,-6.9,-24.6,9.7,8.9,-4.56,-6.09,25.67,6.2,13.87,10.46,-0.56,-0.43,1.77,1.41,11.0,41.66,33.35,34.25,35.64,38.93,1.3679,0.8163,True,True,False
DTE,Utilities,Utilities - Regulated Electric,15.8,-44.4,26.9,4.1,16.1,-33.1,-2.13,9.41,8.75,38.2,23.86,24.84,5.82,6.06,2.42,3.42,15.95,29.83,16.52,15.81,19.07,15.89,0.1442,0.105,True,False,True
DUK,Utilities,Utilities - Regulated Electric,11.3,12.0,6.2,9.8,15.6,30.9,-5.17,4.26,10.94,32.36,19.28,21.17,1.97,2.16,1.8,5.76,11.44,96.48,32.72,32.24,15.62,14.33,-0.1016,-0.2084,False,False,False
DD,Basic Materials,Specialty Chemicals,4.3,,1.9,-210.8,-189.8,-227.8,-3.51,,69.37,46.48,125.55,-139.11,-0.6,0.66,1.39,3.22,14.34,19.33,6.92,6.85,35.81,30.7,1.5786,1.2971,False,True,True
ETN,Industrials,Specialty Industrial Machinery,16.8,-9.4,10.3,7.7,5.6,-23.5,7.13,19.02,25.18,23.78,39.41,42.44,5.12,5.51,7.91,6.21,27.94,156.07,28.52,27.45,38.76,31.99,1.4773,1.5443,True,False,True
EBAY,Consumer Cyclical,Internet Retail,19.5,7.1,7.9,2.8,4.2,-3.0,26.72,,56.32,122.35,25.9,26.63,9.25,9.51,11.34,4.58,17.82,49.79,11.6,11.1,33.56,38.61,0.6626,0.7979,False,False,True
SATS,Communication Services,Telecom Services,-5.2,,-5.2,12026.9,-3.4,-87.8,10.44,79.55,549.83,624.14,,,,,6.73,4.44,41.42,37.99,14.8,15.0,57.89,108.51,1.3529,1.727,False,False,True
ECL,Basic Materials,Specialty Chemicals,10.0,7.8,2.2,-1.7,-3.1,-23.3,-14.01,-4.1,-0.51,17.43,35.6,34.99,-20.94,-20.58,7.32,4.99,20.3,73.24,16.45,16.08,24.3,20.23,0.9378,0.6674,False,True,True
EIX,Utilities,Utilities - Regulated Electric,7.7,-63.2,9.8,204.1,-21.3,-70.4,-4.42,24.16,33.24,6.26,7.79,23.69,0.04,0.12,1.57,3.63,8.31,27.04,19.61,19.32,22.57,25.84,0.3546,0.3293,True,False,True
EW,Healthcare,Medical Devices,16.7,8.2,11.5,-74.3,5.0,317.4,-1.4,0.81,10.59,-1.23,46.72,12.01,-0.63,-0.16,4.8,7.38,24.44,49.5,6.3,6.07,28.84,23.85,0.905,0.6399,False,True,False
EA,Communication Services,Electronic Gaming & Multimedia,11.9,85.3,0.9,-20.9,11.5,423.9,0.14,-0.44,,53.81,57.14,45.2,-2.73,-2.16,7.46,6.55,33.21,50.44,7.53,7.53,5.07,21.49,0.0979,0.216,False,True,False
ELV,Healthcare,Healthcare Plans,2.6,-16.8,12.6,-5.3,0.9,222.5,34.38,20.48,5.42,-19.51,16.59,15.71,-3.13,-2.96,1.94,0.4,9.39,85.29,200.42,199.12,32.56,38.27,0.3466,0.386,True,True,False
EME,Industrials,Engineering & Construction,19.7,30.0,16.6,26.4,2.6,-29.7,15.37,39.75,81.54,116.32,28.73,36.31,1.09,1.38,9.75,2.1,20.16,37.78,17.75,16.99,35.87,38.0,1.4951,1.6922,False,False,True
EMR,Industrials,Specialty Industrial Machinery,2.9,27.9,3.0,16.5,5.0,2.1,-6.39,8.31,20.16,32.24,32.82,38.24,1.99,2.32,3.91,5.01,15.61,79.42,18.32,18.02,36.54,29.93,1.9593,1.608,False,False,False
ETR,Utilities,Utilities - Regulated Electric,12.0,1.2,9.0,67.1,7.7,62.5,3.37,17.29,36.51,117.62,27.89,46.6,0.42,0.69,2.89,6.09,14.75,50.19,13.29,12.95,24.86,19.41,0.1237,0.335,False,False,False
EOG,Energy,Oil & Gas E&P,15.6,39.6,-3.4,-22.2,19.5,182.5,5.42,24.8,26.84,17.84,13.21,10.28,-0.6,-0.46,2.33,3.23,6.05,71.68,23.57,22.58,30.44,26.18,-1.1646,-0.3169,False,True,False
EPAM,Technology,Information Technology Services,7.6,18.8,15.4,-16.9,-0.5,-24.5,-27.11,-46.73,-41.63,-43.15,14.59,12.12,-0.86,-0.72,1.56,0.82,6.22,5.3,5.56,5.46,37.79,43.79,-0.2621,1.0186,False,True,True
EQT,Energy,Oil & Gas E&P,49.9,490.0,60.0,784.4,59.1,119.6,-9.95,-8.03,1.14,39.74,10.5,92.86,0.01,0.12,1.38,4.69,5.73,34.62,9.36,8.35,28.05,32.75,-0.2243,0.171,False,False,False
EFX,Industrials,Consulting Services,14.3,34.0,6.9,9.3,6.3,-2.4,-20.76,-21.1,-37.06,-27.83,28.79,31.47,3.1,3.38,4.3,3.94,12.84,19.76,6.28,6.07,34.74,35.04,0.6171,0.8319,False,False,True
EQIX,Real Estate,REIT - Specialty,12.1,20.0,5.4,65.6,1.0,56.6,11.24,47.36,23.25,46.88,74.06,122.64,1.13,1.87,7.38,13.38,29.77,105.47,9.53,9.22,17.8,26.06,0.5898,0.4522,False,False,False
EQR,Real Estate,REIT - Residential,2.5,-64.6,3.8,8.1,-0.3,-76.4,6.23,10.36,-1.07,13.43,26.72,28.88,3.3,3.57,2.27,10.86,17.86,25.6,3.11,3.09,20.03,19.94,0.3087,0.312,True,False,True
ERIE,Financial Services,Insurance Brokers,2.3,8.7,7.4,-6.8,269.9,137.4,-17.73,-24.91,-37.53,-38.79,20.22,18.85,-2.97,-2.77,4.85,2.73,13.51,11.41,4.09,4.15,33.93,29.99,-0.0037,-0.0227,False,True,False
ESS,Real Estate,REIT - Residential,6.4,-47.8,6.4,-9.7,1.1,31.8,9.14,8.44,1.93,17.67,31.17,28.15,-3.21,-2.9,3.27,12.6,19.37,19.05,1.97,1.89,19.33,20.75,0.3404,0.3552,True,True,False
EL,Consumer Defensive,Household & Personal Products,4.6,-45.5,-8.2,-390.5,-12.2,-45.1,,,34.44,-22.34,,,,,8.23,2.63,16.62,32.88,14.83,14.33,56.8,48.26,1.7489,1.7016,True,True,True
EG,Financial Services,Insurance - Reinsurance,-4.7,230.7,0.8,15.9,-8.6,46.4,-1.27,7.44,,-10.45,6.99,8.1,0.44,0.51,0.87,0.76,,13.19,17.34,17.22,20.06,22.98,0.3748,0.2746,False,False,False
EVRG,Utilities,Utilities - Regulated Electric,5.0,18.5,2.0,-2.0,7.7,79.7,0.28,11.56,29.58,70.21,22.39,21.94,-11.2,-10.97,1.88,5.8,12.56,19.1,6.03,5.96,17.49,15.67,0.1102,0.0778,False,True,False
ES,Utilities,Utilities - Regulated Electric,9.4,7.4,13.8,108.5,33.7,44.0,-5.07,7.35,12.74,33.45,14.89,31.05,0.14,0.29,1.57,4.03,11.47,25.98,13.93,13.55,22.1,24.01,0.3611,0.2517,False,False,False
EXC,Utilities,Utilities - Regulated Electric,7.9,-0.3,5.3,12.5,33.8,54.7,-7.3,0.61,7.06,34.37,16.94,19.06,1.36,1.52,1.59,3.92,11.78,46.64,24.79,24.26,19.57,18.07,-0.0719,-0.1107,True,False,False
EXE,Energy,Oil & Gas E&P,41.0,,188.8,-354.8,31.7,109.6,-12.74,-22.13,-16.5,10.86,6.89,-17.56,-0.02,0.05,1.15,1.95,3.4,22.39,12.96,12.19,27.48,31.87,-0.3445,0.0498,False,True,False
EXPE,Consumer Cyclical,Travel Services,14.7,,7.6,4.9,-3.4,-102.9,6.94,-11.94,38.16,108.46,20.0,20.98,4.08,4.28,47.41,1.81,10.58,27.31,15.17,14.73,49.25,46.56,0.6663,1.3513,False,False,True
EXPD,Industrials,Integrated Freight & Logistics,4.4,16.3,4.4,0.0,-2.6,14.4,9.15,8.54,42.05,38.22,26.1,26.1,,,9.19,1.79,17.62,20.79,11.19,11.07,28.64,30.37,0.0907,0.5717,False,False,False
EXR,Real Estate,REIT - Industrial,3.8,-10.6,3.7,14.0,-0.2,-16.2,-3.37,13.16,1.2,14.88,32.47,37.02,2.32,2.64,2.31,13.08,19.91,32.18,3.48,3.38,24.08,24.61,0.9857,0.5333,True,False,True
XOM,Energy,Oil & Gas Integrated,2.6,-43.4,-4.5,-14.4,3.9,-35.7,-4.06,27.71,47.67,38.11,24.7,21.14,-1.72,-1.47,2.37,2.01,11.7,609.14,326.01,323.9,30.48,24.35,-1.1153,-0.3903,True,True,True
FFIV,Technology,Software - Infrastructure,11.0,4.0,9.7,22.2,-1.3,-17.9,37.92,60.72,36.65,127.92,31.85,38.92,1.43,1.75,6.16,6.34,22.64,21.63,3.22,3.09,33.73,33.11,0.5476,1.0132,False,False,True
FDS,Financial Services,Financial Data & Stock Exchanges,7.1,-4.5,5.4,11.2,0.6,-12.8,,,-47.94,-41.42,15.38,17.1,1.37,1.53,4.11,4.15,10.96,8.7,2.4,2.32,43.71,39.39,-0.0711,0.295,True,False,True
FICO,Technology,Software - Application,38.7,69.0,15.9,27.1,35.1,67.0,-7.9,-26.7,-23.06,-4.42,40.49,51.46,1.49,1.9,,14.85,28.8,30.06,2.26,1.99,63.1,49.87,0.5613,0.8057,False,False,False
FAST,Industrials,Industrial Distribution,12.4,13.8,8.7,9.4,8.6,15.6,-2.87,12.7,10.92,44.96,39.61,43.33,4.21,4.61,12.88,6.1,27.28,51.39,8.44,8.2,26.92,24.58,0.729,0.6447,False,False,False
FRT,Real Estate,REIT - Retail,10.3,152.5,6.4,39.2,1.5,22.6,10.86,25.82,31.88,35.06,20.97,29.19,0.53,0.74,3.32,11.95,18.75,10.52,1.31,1.28,17.68,17.1,0.5097,0.4056,False,False,False
FDX,Industrials,Integrated Freight & Logistics,8.3,17.3,0.3,-5.5,2.3,10.5,6.67,51.89,90.93,75.17,21.98,20.77,-4.0,-3.78,3.3,1.44,11.42,98.16,91.93,87.93,34.43,28.11,1.2169,1.0016,False,True,False
FIS,Technology,Information Technology Services,30.1,3040.6,5.4,-73.7,17.2,363.9,-14.83,-35.28,-44.67,-40.75,8.18,2.15,-0.11,-0.03,1.37,3.69,12.76,21.82,11.44,10.68,34.71,29.7,-0.047,0.6055,False,True,False
FITB,Financial Services,Banks - Regional,33.0,-78.9,6.6,9.0,24.5,-77.4,0.98,15.96,34.84,47.83,16.79,18.3,1.87,2.03,1.42,6.87,,45.21,9.0,8.82,26.88,25.22,1.0363,1.0359,True,False,True
FSLR,Technology,Solar,23.6,65.1,24.1,18.3,-37.9,-33.5,51.8,15.12,94.54,9.05,17.67,20.9,0.97,1.14,3.3,5.68,13.54,32.6,5.42,5.22,48.64,56.89,1.5051,1.3753,False,False,True
FE,Utilities,Utilities - Regulated Electric,11.6,12.9,12.0,4.3,10.7,-500.0,-8.46,1.47,15.27,30.03,25.38,26.47,5.9,6.16,2.11,3.66,10.87,26.72,15.34,15.09,17.17,14.8,0.0415,-0.0221,False,False,True
FISV,,,,,3.6,11.1,-4.9,-29.6,-9.73,-10.94,-65.02,-62.23,9.43,10.48,0.85,0.94,1.14,,,29.77,,21.19,35.28,55.71,0.5294,0.8661,False,False,True
F,Consumer Cyclical,Auto Manufacturers,6.4,430.8,1.2,-239.2,-5.7,-123.0,25.91,29.5,70.95,63.0,,,,,1.77,1.07,26.93,66.35,189.86,187.27,51.53,36.57,1.8103,1.2952,False,True,True
FTNT,Technology,Software - Infrastructure,20.1,28.6,14.2,6.2,-2.9,5.6,63.8,58.52,27.11,117.14,49.5,52.57,7.98,8.48,96.22,12.98,39.09,95.02,7.11,6.8,52.43,44.03,0.3035,1.0041,False,False,False
FTV,Technology,Scientific & Technical Instruments,7.7,-12.4,1.9,-30.5,-4.7,-26.5,1.12,,10.99,8.43,35.22,24.48,-1.15,-0.8,2.97,5.02,17.87,18.04,4.24,4.16,22.78,25.69,0.6916,0.7369,True,True,True
FOXA,Communication Services,Entertainment,-8.6,-49.3,16.6,50.8,-22.9,-27.5,16.49,-0.36,21.38,98.82,17.23,25.98,0.34,0.51,2.53,1.96,8.97,27.66,16.2,16.3,25.77,27.82,0.1586,0.4581,True,False,True
FOX,Communication Services,Entertainment,-8.6,-49.3,16.6,50.8,-22.9,-27.5,14.54,0.35,19.29,93.76,15.42,23.25,0.3,0.46,2.27,1.79,8.19,24.89,16.2,16.3,25.21,27.39,0.1561,0.4295,True,False,True
BEN,Financial Services,Asset Management,8.7,87.2,3.5,12.9,-1.4,5.0,17.28,42.42,51.36,54.26,24.19,27.31,1.88,2.12,1.34,2.17,10.95,16.22,9.03,8.77,34.1,27.03,1.6141,1.3409,False,False,False
FCX,Basic Materials,Copper,8.8,153.1,1.8,16.7,10.7,117.0,-3.33,53.66,70.73,28.09,33.61,39.22,2.01,2.35,4.85,4.29,11.59,94.69,26.42,25.91,55.6,47.3,2.7866,2.0705,False,False,False
GRMN,Technology,Scientific & Technical Instruments,14.2,21.5,15.1,17.9,-17.5,-23.4,-7.02,21.02,18.44,50.99,26.53,31.28,1.48,1.75,4.92,5.77,19.89,45.58,7.46,7.25,29.72,29.94,1.2674,1.3279,False,False,True
IT,Technology,Information Technology Services,-1.5,17.3,3.7,-41.8,-13.8,-8.2,1.2,-30.16,-63.0,-62.32,15.8,9.2,-0.38,-0.22,172.57,1.93,9.33,10.79,6.47,6.5,43.12,51.01,-0.377,0.8557,False,True,True
GE,Industrials,Aerospace & Defense,24.7,-1.8,18.5,32.8,-2.6,-25.1,-7.07,11.51,32.09,98.46,39.36,52.27,1.2,1.59,18.01,7.16,31.32,335.2,48.31,45.85,42.12,31.09,1.9162,1.2921,True,False,True
GEHC,Healthcare,Medical Devices,7.4,-30.9,4.8,4.6,-10.0,-34.0,-21.54,-20.6,-11.96,-19.6,15.33,16.04,3.33,3.49,2.68,1.77,10.54,28.59,20.98,20.62,41.95,32.09,1.6683,1.275,True,False,True
GEV,Industrials,Specialty Industrial Machinery,16.3,1816.5,9.0,214.7,-14.8,29.5,13.1,72.88,111.85,463.78,29.07,91.48,0.14,0.43,19.22,6.67,76.95,267.65,39.37,38.07,50.68,48.61,2.0632,1.9614,False,False,False
GEN,Technology,Software - Infrastructure,27.0,265.2,27.1,51.3,3.5,166.7,10.43,-5.58,-10.61,4.02,15.64,23.66,0.3,0.46,5.62,4.53,9.48,14.79,5.0,5.0,43.01,31.88,0.8671,1.0401,False,False,False
GNRC,Industrials,Specialty Industrial Machinery,12.4,69.9,-2.0,-50.9,-2.9,-399.4,21.3,87.27,124.86,86.94,87.6,43.01,-1.72,-0.84,6.14,4.06,33.33,16.45,4.33,4.21,54.92,52.25,1.8994,1.7895,False,True,True
GD,Industrials,Aerospace & Defense,10.3,12.0,10.1,11.3,-6.2,-1.6,-3.89,5.91,29.13,23.61,21.55,23.99,1.91,2.12,3.61,1.87,15.48,94.37,53.81,52.55,24.66,20.84,0.3389,0.5165,False,False,True
GIS,Consumer Defensive,Packaged Foods,2.2,-14.5,-1.9,-8.1,-8.7,-26.6,-23.62,-25.75,-33.67,-44.04,8.23,7.56,-1.02,-0.93,3.27,1.13,6.28,18.09,18.37,19.49,22.99,23.52,0.0955,-0.1808,True,True,True
GM,Consumer Cyclical,Auto Manufacturers,-0.9,-15.8,-1.3,-55.1,-3.7,-179.4,8.73,16.13,75.36,101.82,30.78,13.82,-0.56,-0.25,1.21,0.99,9.97,76.06,184.62,185.02,34.15,34.94,1.4196,1.1387,True,True,True
GPC,Consumer Cyclical,Auto Parts,6.8,-2.1,3.5,-92.7,4.3,-130.9,-15.5,-22.3,-18.85,-24.07,220.58,16.1,-2.38,-0.17,3.05,0.81,9.78,13.81,24.7,24.3,29.81,28.9,0.863,0.6846,True,True,True
GILD,Healthcare,Drug Manufacturers - General,4.4,54.8,2.4,1672.9,-12.2,-7.4,-8.69,10.91,25.86,128.49,18.19,322.49,0.01,0.19,7.19,6.1,12.31,169.13,29.74,29.44,22.29,26.13,0.7177,0.5074,False,False,True
GPN,Industrials,Specialty Business Services,63.1,,-0.4,-10.8,53.6,-500.0,-4.75,-2.39,-1.29,-24.75,27.19,24.25,-2.52,-2.25,0.85,4.39,9.91,20.23,8.86,7.71,36.44,38.33,1.183,1.3295,False,True,True
GL,Financial Services,Insurance - Life,5.4,12.6,3.7,8.4,2.6,1.7,5.35,16.54,28.21,90.08,10.69,11.59,1.27,1.38,1.97,2.43,9.01,11.94,6.07,5.99,20.11,21.01,0.7055,0.511,False,False,False
GDDY,Technology,Software - Infrastructure,6.1,6.0,8.3,-6.6,-0.5,-12.4,-2.63,-32.86,-52.46,-38.36,13.85,12.94,-2.1,-1.96,48.02,2.77,10.61,11.37,5.02,4.95,37.96,35.78,-0.003,0.4083,False,True,True
GS,Financial Services,Capital Markets,14.5,24.2,8.9,20.3,28.0,21.9,17.02,25.63,70.17,130.1,18.21,21.91,0.9,1.08,2.83,0.35,,297.48,61.53,58.28,32.78,27.07,1.5236,1.534,False,False,False
HAL,Energy,Oil & Gas Equipment & Services,-0.3,133.5,-3.3,-48.7,-4.5,-21.7,9.87,49.35,101.24,15.49,21.85,11.21,-0.45,-0.23,3.05,1.76,9.45,32.86,22.17,22.18,32.31,36.71,-0.343,0.319,False,True,True
HIG,Financial Services,Insurance - Diversified,6.1,41.4,6.4,23.3,-0.4,-24.3,-9.09,-4.41,0.68,33.74,9.27,11.43,0.4,0.49,1.91,1.24,6.46,35.35,28.79,28.07,19.59,18.45,0.3652,0.2442,False,False,True
HAS,Consumer Cyclical,Leisure,12.7,98.6,13.7,-183.6,-30.8,-1.6,-12.79,5.18,32.57,53.52,,,,,18.86,3.07,11.62,12.22,4.81,4.7,36.41,28.94,0.8194,0.9848,False,True,True
HCA,Healthcare,Medical Care Facilities,4.3,10.9,7.1,17.8,-2.1,-13.7,-27.76,-23.35,2.2,19.98,13.25,15.61,0.74,0.88,,1.8,8.83,85.27,76.39,75.6,28.56,26.86,0.601,0.261,False,False,True
DOC,Real Estate,REIT - Healthcare Facilities,7.1,363.9,4.5,-70.7,4.7,69.9,12.58,11.13,19.4,16.51,62.94,18.44,-0.89,-0.26,1.73,8.43,15.69,13.45,2.87,2.82,42.13,29.13,1.0161,0.6345,False,True,False
HSIC,Healthcare,Medical Distribution,6.3,4.5,4.0,2.1,-2.0,5.9,-6.21,4.39,6.03,8.81,22.85,23.33,10.88,11.11,2.67,1.04,13.23,8.69,13.38,13.18,24.86,27.54,0.8406,0.7139,False,False,False
HSY,Consumer Defensive,Confectioners,10.6,93.6,4.4,-60.2,0.4,36.0,-15.76,7.98,25.8,8.26,36.9,14.69,-0.61,-0.24,8.44,3.73,19.8,39.97,11.99,11.69,25.6,26.93,0.0702,-0.0031,False,True,False
HPE,Technology,Communication Equipment,18.4,-30.3,13.8,-97.8,-3.9,158.3,73.77,76.33,121.96,121.49,,,,,2.05,1.89,13.82,50.7,35.74,34.3,49.86,41.24,1.512,1.8245,True,True,False
HLT,Consumer Cyclical,Lodging,11.0,35.0,7.7,-5.1,-4.9,29.6,,19.37,36.25,72.58,51.38,48.76,-10.07,-9.56,,17.62,29.76,76.84,5.07,12.04,27.53,22.86,1.2228,0.8847,False,True,False
HD,Consumer Cyclical,Home Improvement Retail,4.8,-4.3,3.2,-4.4,,-4.2,-12.8,-8.92,-10.58,3.56,22.57,21.58,-5.13,-4.9,23.01,2.29,15.27,320.28,166.59,164.68,28.25,23.43,1.2105,0.7813,True,True,True
HON,Industrials,Conglomerates,2.4,-41.9,7.8,-17.1,33.3,-500.0,,23.77,12.18,30.88,37.28,30.91,-2.18,-1.81,10.86,4.62,20.42,147.64,37.66,37.44,24.9,21.93,0.9667,0.7369,True,True,True
HRL,Consumer Defensive,Packaged Foods,-2.9,-5.1,1.6,-40.6,-5.0,-423.9,-3.6,4.0,-18.47,-24.58,23.59,14.01,-0.58,-0.35,1.64,0.92,9.25,12.98,12.14,12.11,34.53,29.58,0.2778,0.0952,True,True,True
HST,Real Estate,REIT - Hotel & Motel,2.8,105.3,7.6,9.8,2.6,265.9,19.43,36.68,58.77,45.73,15.95,17.51,1.63,1.79,2.34,3.25,12.03,16.15,6.18,6.11,25.9,24.32,1.0572,0.9366,False,False,False
HWM,Industrials,Aerospace & Defense,19.1,71.4,11.1,30.6,6.7,55.9,-1.93,30.9,53.14,210.77,59.88,78.2,1.96,2.56,18.87,12.34,41.55,103.98,8.62,8.25,37.36,30.58,1.6137,1.0915,False,False,False
HPQ,Technology,Computer Hardware,6.9,-1.7,3.2,-8.9,-1.4,-31.4,35.91,5.45,5.31,-17.1,9.66,8.8,-1.09,-0.99,,0.55,6.98,22.87,56.23,55.3,48.98,37.58,0.187,0.9568,True,True,True
HUBB,Industrials,Electrical Equipment & Parts,11.1,12.5,3.8,13.9,1.6,-18.9,,,20.88,24.83,28.65,32.63,2.06,2.35,6.65,4.55,18.6,25.04,6.0,5.84,34.98,28.49,1.0348,1.2567,False,False,True
HUM,Healthcare,Healthcare Plans,23.5,-4.6,10.1,-1.6,21.9,-249.0,65.67,28.53,36.29,-8.1,32.67,32.15,-20.42,-20.09,1.99,0.21,8.79,37.06,137.2,129.66,43.65,48.51,0.6739,0.5208,True,True,True
HBAN,Financial Services,Banks - Regional,33.6,-26.5,10.1,14.0,20.3,0.8,-4.04,-0.68,6.49,29.72,12.31,14.03,0.88,1.0,1.1,4.74,,32.68,8.3,8.13,24.52,25.72,1.0064,1.0011,True,False,False
HII,Industrials,Aerospace & Defense,13.4,0.0,8.2,10.0,-10.8,-6.3,,,46.14,34.9,20.62,22.68,2.06,2.27,2.46,1.2,13.54,12.64,12.85,12.48,35.94,34.33,0.5259,0.7131,False,False,True
IBM,Technology,Information Technology Services,9.5,14.2,7.6,75.9,-19.1,-78.3,11.19,-12.43,4.75,67.13,22.58,39.72,0.3,0.52,7.53,4.45,18.45,248.34,68.91,67.54,40.63,35.45,0.4908,1.0055,False,False,True
IEX,Industrials,Specialty Industrial Machinery,8.9,27.8,5.8,-4.3,-1.4,-6.5,-0.36,21.13,17.09,4.29,31.35,30.0,-7.29,-6.98,3.85,4.78,17.71,15.55,3.53,3.46,25.53,25.71,1.0154,0.8584,False,True,True
IDXX,Healthcare,Diagnostics & Research,14.3,17.2,10.4,19.3,4.6,12.2,-10.79,-22.08,10.18,13.98,40.49,48.3,2.1,2.5,28.2,10.28,29.57,44.81,4.45,4.3,30.61,41.45,1.181,1.3634,False,False,False
ITW,Industrials,Specialty Industrial Machinery,4.6,11.8,0.9,-12.1,-1.9,-2.8,-13.72,2.16,4.16,11.52,23.27,20.45,-1.92,-1.69,22.34,4.94,16.95,71.82,16.22,16.04,21.71,20.31,0.8995,0.6199,False,True,True
INCY,Healthcare,Biotechnology,20.9,83.8,21.2,3845.0,-15.5,1.4,-2.54,-4.45,47.64,71.29,13.77,543.23,0.0,0.14,3.47,2.89,10.01,19.48,5.36,5.14,24.46,32.29,1.0062,0.8774,False,False,False
IR,Industrials,Specialty Industrial Machinery,7.6,6.5,5.7,-30.7,-11.7,-27.8,-24.42,-10.31,-13.5,-21.92,47.97,33.24,-1.56,-1.08,2.73,4.05,15.58,27.78,7.78,7.65,36.56,32.84,1.723,1.4954,False,True,True
PODD,Healthcare,Medical Devices,33.9,159.0,30.7,-40.9,-2.8,-10.3,-41.88,-54.11,-55.95,-17.18,34.21,20.22,-0.84,-0.49,6.63,3.59,17.3,9.88,2.9,2.71,48.53,36.93,0.4311,0.533,False,True,True
